"Experience
(.Months)",Diff,Designation,Joining Status,Employment Type,Distance
15.0,31,0,1,2,0
4.5,101,1,0,2,0
8.0,110,3,1,2,1
5.5,132,4,1,2,0
5.4,92,5,1,2,0
0.0,61,5,1,2,1
0.0,91,1,1,2,1
5.0,91,0,1,0,0
6.0,91,0,0,2,0
20.0,217,4,1,2,1
3.0,31,1,1,1,1
7.1,123,5,1,1,1
15.0,123,3,1,2,0
5.7,214,5,0,2,0
5.2,31,5,1,1,1
4.8,184,1,1,2,0
5.9,457,5,0,2,0
11.4,306,3,1,2,0
4.3,77,1,0,2,1
10.0,321,3,1,2,0
8.11,166,3,1,2,1
3.1,291,1,1,1,0
3.2,1,1,1,1,1
4.5,1,0,1,0,1
5.4,287,5,1,2,1
5.9,2,1,0,2,0
4.3,195,5,1,2,1
18.0,33,4,1,2,1
5.5,1,1,1,1,0
4.1,1,1,1,1,0
8.0,317,0,1,0,1
3.0,1,1,1,1,0
3.3,1,1,1,1,0
2.6,1,1,1,1,1
5.6,3,4,1,0,1
2.3,1,1,1,1,1
8.0,4,5,2,2,1
0.0,345,6,1,2,0
0.0,316,6,1,2,0
8.5,368,3,1,2,0
0.0,316,6,1,2,0
0.0,345,6,1,2,0
4.0,161,1,1,2,1
4.0,1,1,0,2,1
6.0,100,5,0,2,0
4.1,2,1,1,1,1
15.0,1,1,1,1,1
5.0,2,1,1,1,1
3.3,2,1,1,1,1
5.1,2,1,1,1,1
3.0,2,1,1,1,1
3.3,2,1,1,1,1
6.0,5,5,1,2,1
4.2,1,1,1,2,0
7.0,3,5,0,2,1
3.6,2,1,1,2,1
10.0,197,4,1,2,1
6.4,32,5,0,2,1
9.6,33,3,0,2,1
8.0,3,3,1,2,1
13.0,2,3,1,2,1
5.0,7,1,1,1,1
14.0,7,1,1,1,1
3.0,124,1,1,2,1
0.0,32,5,0,2,1
6.0,6,5,1,2,1
0.0,10,5,0,2,1
9.5,7,3,1,2,0
4.5,3,0,1,0,1
3.4,27,1,1,2,0
4.0,28,1,1,2,0
7.7,27,5,1,2,0
8.2,29,3,1,2,1
6.3,265,5,1,2,1
19.0,14,2,1,2,0
13.0,27,3,1,2,0
7.0,29,0,1,0,1
5.9,29,0,1,0,0
5.4,31,5,1,2,1
8.0,59,3,1,2,1
8.3,28,3,1,2,1
3.7,64,1,1,2,0
8.0,100,3,1,2,1
7.6,243,5,1,2,1
10.3,59,3,1,2,0
7.7,356,5,1,2,1
6.1,59,5,1,2,0
6.4,67,5,1,2,1
12.5,71,5,1,2,1
5.7,90,0,1,1,1
10.2,59,3,1,1,1
12.0,59,3,1,2,1
4.5,294,1,0,2,1
7.0,31,5,1,2,0
6.4,92,5,1,2,1
5.8,61,5,0,2,1
7.1,294,5,0,2,0
10.0,1,2,1,2,1
9.7,217,5,1,2,1
3.6,61,1,1,1,0
5.0,196,1,1,1,1
7.5,122,5,1,1,0
4.0,196,1,1,1,1
8.0,122,0,1,0,0
2.0,196,1,1,1,1
3.7,31,1,1,2,1
3.0,281,4,1,2,1
5.5,31,5,1,2,0
3.7,61,1,0,2,1
5.6,29,5,0,2,0
3.5,184,1,1,2,0
6.1,61,5,1,2,1
7.6,61,5,1,0,0
4.5,153,1,1,1,1
3.2,153,1,1,1,0
3.0,61,1,1,1,1
8.0,2,0,1,0,1
3.1,229,1,0,2,0
5.4,106,5,0,2,1
7.0,229,5,1,2,0
6.0,290,5,1,2,1
4.0,290,5,1,2,1
6.6,13,5,0,2,1
7.5,55,0,1,2,0
5.5,168,5,1,2,1
9.0,1,3,0,2,0
3.7,2,1,1,0,1
11.0,1,4,1,2,0
9.0,1,0,1,0,1
7.0,1,4,1,0,0
5.0,1,4,1,2,1
5.0,1,0,1,0,1
8.0,290,0,1,0,0
4.8,76,5,0,1,0
5.5,258,5,0,2,1
5.0,1,5,1,2,1
7.0,3,0,0,0,1
4.0,74,5,0,1,0
3.4,1,1,1,2,1
3.7,196,1,0,2,1
4.2,42,5,0,2,1
4.6,28,5,1,2,1
4.4,287,5,1,2,1
8.5,2,3,1,2,1
6.5,1,5,1,2,1
10.0,1,0,1,2,1
12.7,3,3,1,2,1
12.8,287,3,0,2,1
10.0,165,3,1,2,0
